msgid 10000000
nhost 2560
130 8  798 110256 0  3875 94789 0  6440 96715 0  8371 25023 0  9507 62448 0  10760 99963 0  17593 141463 0  18821 51418 0
131 8  645 110160 0  1479 56141 0  9934 135744 0  10357 136111 0  10976 100078 0  11385 8789 0  19738 34284 0  19766 52058 0
132 8  933 110335 0  3469 75963 0  3974 94881 0  4602 58587 0  6430 78424 0  16351 140588 0  16682 104657 0  21324 71848 0
133 8  1248 110609 0  6529 78500 0  7304 97352 0  9575 153562 0  12378 64883 0  17841 69210 0  18788 106482 0  21783 72205 0
134 8  1377 1144 0  1426 74366 0  1545 110850 0  7340 97383 0  7789 79557 0  11222 154942 0  17976 69296 0  21812 108726 0
135 8  1624 74533 0  2004 111208 0  2403 1898 0  8240 98032 0  12818 46897 0  18696 69779 0  18804 69842 0  20707 144120 0
136 8  2166 111310 0  8145 6354 0  9616 80996 0  9978 117735 0  12155 101120 0  17075 50047 0  19083 70059 0  22437 145613 0
137 8  2265 111420 0  5677 132279 0  10759 81995 0  12717 9800 0  16270 140523 0  17933 105797 0  18330 124074 0  19299 70258 0
138 8  3150 2563 0  11048 100137 0  13888 29599 0  16087 85899 0  18198 14233 0  18369 14415 0  19396 34031 0  21805 145089 0
139 8  587 37388 0  2337 111484 0  6409 23325 0  12862 28714 0  13036 83618 0  14485 84761 0  18142 141857 0  20448 16198 0
140 8  479 37306 0  889 128421 0  5025 58980 0  7574 97534 0  12866 101689 0  15545 48933 0  15769 31003 0  17791 141588 0
141 8  2838 57122 0  6867 5419 0  7704 6089 0  13104 10163 0  15787 31042 0  17683 141528 0  18437 106169 0  20314 34729 0
142 8  307 18559 0  12231 9428 0  12407 101329 0  15454 30724 0  16312 86077 0  16918 141011 0  17146 32105 0  17640 13805 0
143 8  1999 19929 0  2409 111533 0  2658 57001 0  5970 59719 0  9945 7571 0  13381 138494 0  16876 31914 0  20656 34951 0
144 9  1891 19863 0  4062 58093 0  7358 97392 0  8211 61390 0  13071 65375 0  18739 33463 0  20525 107781 0  20838 71457 0  22365 145565 0
145 9  2416 75125 0  7482 60868 0  7788 61055 0  8628 116617 0  10306 26569 0  17076 68655 0  18190 33042 0  19868 107283 0  22253 145460 0
146 9  1729 19747 0  2031 111217 0  3534 112532 0  7810 134023 0  9480 62434 0  10839 63510 0  14510 48110 0  17915 105771 0  21670 144959 0
147 9  3246 112354 0  3849 112838 0  8583 116592 0  8607 61734 0  9948 62738 0  12121 137508 0  14958 11684 0  15050 48510 0  20197 34637 0
148 9  1774 19799 0  3251 39471 0  4873 77030 0  5374 22523 0  10210 81510 0  10983 63634 0  15322 85441 0  21133 35343 0  21274 144617 0
149 9  1111 74098 0  1762 129122 0  2234 38678 0  4879 22133 0  8565 116584 0  10389 63145 0  12045 64597 0  19126 33803 0  19807 143315 0
150 9  1846 19839 0  2680 129815 0  3908 40023 0  6058 23045 0  10155 62876 0  10732 81986 0  14452 139265 0  17435 50287 0  22448 54459 0
151 9  373 73532 0  1235 37882 0  1747 19769 0  2837 39161 0  5140 22331 0  11932 137303 0  13512 65771 0  14528 48118 0  15607 30853 0
152 9  1270 19354 0  1975 74750 0  5906 41579 0  6256 23260 0  8457 116500 0  14385 66550 0  15823 31088 0  18407 51122 0  19519 143094 0
153 9  4405 76670 0  6481 23382 0  7373 42698 0  8475 116518 0  15267 67211 0  16271 158780 0  17687 50596 0  18937 33653 0  20234 52353 0
154 9  6517 23408 0  6907 78797 0  8228 43353 0  8493 116523 0  8532 6639 0  15520 85565 0  16710 122861 0  16878 68434 0  21724 144977 0
155 9  4621 76828 0  7635 60977 0  7642 24400 0  8637 116618 0  10444 81717 0  14238 11102 0  14766 121461 0  16626 68245 0  19024 142575 0
156 9  7183 23965 0  8511 116535 0  9522 7295 0  13684 84100 0  15807 67684 0  18061 141800 0  20521 34886 0  21341 53454 0  21636 17061 0
157 9  102 54995 0  6877 23706 0  8381 43472 0  8502 116527 0  9289 25706 0  9468 7266 0  12778 137975 0  13898 47743 0  21080 53185 0
158 9  1010 37701 0  1478 38053 0  3678 112683 0  7558 133793 0  7912 24629 0  8646 116620 0  9798 117589 0  14282 157293 0  14682 66799 0
159 9  1864 19850 0  7666 133896 0  8704 25288 0  9579 62506 0  10338 118019 0  13186 28986 0  14626 30123 0  14794 139461 0  15144 121737 0
160 9  1917 1496 0  7973 152249 0  8269 134385 0  8466 116517 0  8902 25437 0  11895 119186 0  14014 29685 0  19011 70010 0  20013 125318 0
161 9  4266 3382 0  8520 116541 0  8929 25444 0  12480 119685 0  13853 47713 0  18118 32960 0  19627 143204 0  20721 71374 0  21815 163190 0
162 9  4383 3448 0  8556 116580 0  9244 25690 0  12018 64571 0  12091 82990 0  13281 120361 0  17734 87258 0  18934 142513 0  21243 71774 0
163 9  6641 151185 0  7657 133887 0  8610 116606 0  9055 25538 0  9067 80605 0  9352 25766 0  10935 8439 0  19258 142796 0  20481 125695 0
164 9  1453 74398 0  1520 147094 0  5448 59276 0  8619 116615 0  9388 25793 0  9850 81226 0  10180 26458 0  15760 30994 0  22222 17644 0
165 9  953 146640 0  2010 56554 0  4192 130971 0  9442 25822 0  10909 27094 0  13204 28996 0  18165 69465 0  19875 70711 0  20789 162390 0
166 9  574 128200 0  643 73723 0  2343 56807 0  9649 25966 0  11191 82310 0  12029 101031 0  12241 28202 0  15213 67184 0  17837 160142 0
167 9  808 128374 0  3106 20740 0  4036 76405 0  6760 23588 0  9910 26247 0  11506 82544 0  12295 28243 0  14170 84446 0  16099 140346 0
